student_id,age,gender,study_hours_per_day,attendance_percent,previous_marks,parent_education,internet_access,extra_classes
49,16,Male,1.0,50.0,35,Primary,No,No
50,17,Female,5.0,76.0,64,Graduate,Yes,Yes
51,18,Male,8.5,92.0,88,Postgraduate,Yes,Yes
52,15,Female,2.0,54.0,40,Primary,No,No
53,16,Male,6.0,80.0,72,Graduate,Yes,Yes
54,17,Female,3.5,66.0,51,Secondary,No,No
55,18,Male,7.5,88.0,81,Postgraduate,Yes,Yes
56,15,Female,1.5,51.0,37,Primary,No,No
57,16,Male,4.5,74.0,62,Secondary,Yes,Yes
58,17,Female,9.0,95.0,92,Postgraduate,Yes,Yes
59,18,Male,2.5,58.0,43,Primary,No,No
60,15,Female,6.5,84.0,75,Graduate,Yes,Yes
61,16,Male,3.0,63.0,48,Secondary,No,No
62,17,Female,8.0,90.0,85,Postgraduate,Yes,Yes
63,18,Male,1.0,50.0,36,Primary,No,No
64,15,Female,7.0,87.0,80,Graduate,Yes,Yes
65,16,Male,4.0,71.0,57,Secondary,Yes,No
66,17,Female,2.0,55.0,41,Primary,No,No
67,18,Male,8.5,91.0,87,Postgraduate,Yes,Yes
68,15,Female,5.5,77.0,66,Graduate,Yes,Yes
69,16,Male,3.5,65.0,52,Secondary,No,No
70,17,Female,7.5,88.0,82,Postgraduate,Yes,Yes
71,18,Male,1.5,52.0,38,Primary,No,No
72,15,Female,6.0,81.0,73,Graduate,Yes,Yes
73,16,Male,2.5,57.0,42,Primary,No,No
74,17,Female,9.5,96.0,94,Postgraduate,Yes,Yes
75,18,Male,4.5,74.0,60,Secondary,Yes,No
76,15,Female,7.0,86.0,78,Graduate,Yes,Yes
77,16,Male,1.0,51.0,36,Primary,No,No
78,17,Female,8.0,89.0,84,Postgraduate,Yes,Yes
79,18,Male,3.0,63.0,47,Secondary,No,No
80,15,Female,6.5,83.0,76,Graduate,Yes,Yes
81,16,Male,2.0,54.0,40,Primary,No,No
82,17,Female,7.5,87.0,81,Postgraduate,Yes,Yes
83,18,Male,4.0,70.0,55,Secondary,Yes,No
84,15,Female,9.0,94.0,91,Postgraduate,Yes,Yes
85,16,Male,1.5,52.0,37,Primary,No,No
86,17,Female,5.5,78.0,68,Graduate,Yes,Yes
87,18,Male,3.5,65.0,50,Secondary,No,No
88,15,Female,8.5,92.0,89,Postgraduate,Yes,Yes
89,16,Male,2.5,58.0,43,Primary,No,No
90,17,Female,6.0,81.0,72,Graduate,Yes,Yes
91,18,Male,4.5,73.0,59,Secondary,Yes,No
92,15,Female,7.5,88.0,83,Postgraduate,Yes,Yes
93,16,Male,1.0,50.0,35,Primary,No,No
94,17,Female,8.0,90.0,86,Postgraduate,Yes,Yes
95,18,Male,3.0,62.0,46,Secondary,No,No
96,15,Female,6.5,84.0,77,Graduate,Yes,Yes
97,16,Male,2.0,55.0,41,Primary,No,No
98,17,Female,9.0,95.0,92,Postgraduate,Yes,Yes
99,18,Male,4.0,71.0,56,Secondary,Yes,No
100,15,Female,7.0,86.0,79,Graduate,Yes,Yes
